"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"1","Abdominal pain","All people","All people",9.56,8.82,10.3
"2","Abdominal pain","Health/disability status","No health conditions",6.96,6.04,7.87
"3","Abdominal pain","Health/disability status","Activity not limited by health conditions",6.06,4.26,7.85
"4","Abdominal pain","Health/disability status","Activity limited a little by health conditions",11.3,9.7,12.91
"5","Abdominal pain","Health/disability status","Activity limited a lot by health conditions",17.2,14.83,19.56
"6","Abdominal pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",2.29,1.51,3.07
"7","Abdominal pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",8.86,7.93,9.8
"8","Abdominal pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",20.31,18,22.61
"9","Allergies","All people","All people",6.24,5.63,6.86
"10","Allergies","Health/disability status","No health conditions",3.78,3.09,4.48
"11","Allergies","Health/disability status","Activity not limited by health conditions",5.17,3.5,6.84
"12","Allergies","Health/disability status","Activity limited a little by health conditions",7.58,6.24,8.92
"13","Allergies","Health/disability status","Activity limited a lot by health conditions",12.38,10.31,14.46
"14","Allergies","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",2.43,1.62,3.24
"15","Allergies","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",6.04,5.25,6.83
"16","Allergies","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",11.38,9.57,13.2
"17","Chest pain","All people","All people",11.88,11.07,12.69
"18","Chest pain","Health/disability status","No health conditions",9.25,8.21,10.3
"19","Chest pain","Health/disability status","Activity not limited by health conditions",7.68,5.68,9.68
"20","Chest pain","Health/disability status","Activity limited a little by health conditions",12.5,10.83,14.17
"21","Chest pain","Health/disability status","Activity limited a lot by health conditions",21.8,19.21,24.39
"22","Chest pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",3.07,2.17,3.98
"23","Chest pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",9.99,9,10.98
"24","Chest pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",28.04,25.49,30.59
"25","Cough","All people","All people",32.98,31.79,34.17
"26","Cough","Health/disability status","No health conditions",29.38,27.73,31.03
"27","Cough","Health/disability status","Activity not limited by health conditions",29.84,26.37,33.3
"28","Cough","Health/disability status","Activity limited a little by health conditions",35.7,33.26,38.15
"29","Cough","Health/disability status","Activity limited a lot by health conditions",41.86,38.76,44.97
"30","Cough","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",24.66,22.39,26.93
"31","Cough","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",32.43,30.87,33.99
"32","Cough","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",44.52,41.66,47.38
"33","Diarrhoea","All people","All people",9.04,8.32,9.76
"34","Diarrhoea","Health/disability status","No health conditions",6.11,5.25,6.97
"35","Diarrhoea","Health/disability status","Activity not limited by health conditions",5.91,4.1,7.72
"36","Diarrhoea","Health/disability status","Activity limited a little by health conditions",10.17,8.62,11.73
"37","Diarrhoea","Health/disability status","Activity limited a lot by health conditions",18.32,15.9,20.74
"38","Diarrhoea","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",2.93,2.03,3.83
"39","Diarrhoea","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",7.99,7.09,8.89
"40","Diarrhoea","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",19.46,17.19,21.72
"41","Difficulty concentrating","All people","All people",37.26,36.04,38.49
"42","Difficulty concentrating","Health/disability status","No health conditions",29.75,28.1,31.41
"43","Difficulty concentrating","Health/disability status","Activity not limited by health conditions",28.8,25.4,32.21
"44","Difficulty concentrating","Health/disability status","Activity limited a little by health conditions",42.22,39.71,44.73
"45","Difficulty concentrating","Health/disability status","Activity limited a lot by health conditions",58.24,55.14,61.34
"46","Difficulty concentrating","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",9.29,7.78,10.8
"47","Difficulty concentrating","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",38.75,37.14,40.37
"48","Difficulty concentrating","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",66.02,63.28,68.75
"49","Ear pain","All people","All people",8.19,7.5,8.88
"50","Ear pain","Health/disability status","No health conditions",5.94,5.09,6.8
"51","Ear pain","Health/disability status","Activity not limited by health conditions",5.61,3.89,7.34
"52","Ear pain","Health/disability status","Activity limited a little by health conditions",9.38,7.9,10.85
"53","Ear pain","Health/disability status","Activity limited a lot by health conditions",14.94,12.71,17.18
"54","Ear pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",2.64,1.8,3.49
"55","Ear pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",8.1,7.2,9
"56","Ear pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",15.04,12.99,17.09
"57","Eyesight","All people","All people",22.39,21.34,23.44
"58","Eyesight","Health/disability status","No health conditions",16.89,15.53,18.24
"59","Eyesight","Health/disability status","Activity not limited by health conditions",14.18,11.53,16.83
"60","Eyesight","Health/disability status","Activity limited a little by health conditions",26.6,24.34,28.85
"61","Eyesight","Health/disability status","Activity limited a lot by health conditions",38.28,35.23,41.33
"62","Eyesight","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",8.36,6.92,9.81
"63","Eyesight","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",21.65,20.28,23.01
"64","Eyesight","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",41.29,38.45,44.13
"65","Fever","All people","All people",2.42,2.03,2.8
"66","Fever","Health/disability status","No health conditions",1.76,1.28,2.23
"67","Fever","Health/disability status","Activity not limited by health conditions",NA,NA,NA
"68","Fever","Health/disability status","Activity limited a little by health conditions",NA,NA,NA
"69","Fever","Health/disability status","Activity limited a lot by health conditions",5.63,4.19,7.07
"70","Fever","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",NA,NA,NA
"71","Fever","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",NA,NA,NA
"72","Fever","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",6.29,4.9,7.67
"73","General pain","All people","All people",19.77,18.77,20.78
"74","General pain","Health/disability status","No health conditions",11.92,10.77,13.08
"75","General pain","Health/disability status","Activity not limited by health conditions",11.08,8.71,13.45
"76","General pain","Health/disability status","Activity limited a little by health conditions",24.93,22.73,27.13
"77","General pain","Health/disability status","Activity limited a lot by health conditions",41.66,38.55,44.77
"78","General pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",4.36,3.3,5.43
"79","General pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",17.44,16.19,18.69
"80","General pain","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",45.11,42.25,47.98
"81","Hair loss","All people","All people",7.22,6.57,7.87
"82","Hair loss","Health/disability status","No health conditions",5.1,4.31,5.89
"83","Hair loss","Health/disability status","Activity not limited by health conditions",4.28,2.77,5.8
"84","Hair loss","Health/disability status","Activity limited a little by health conditions",8.05,6.67,9.42
"85","Hair loss","Health/disability status","Activity limited a lot by health conditions",14.43,12.23,16.64
"86","Hair loss","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",3.07,2.17,3.98
"87","Hair loss","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",6.55,5.73,7.37
"88","Hair loss","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",14.19,12.2,16.17
"89","Headache","All people","All people",27.36,26.22,28.49
"90","Headache","Health/disability status","No health conditions",22.36,20.84,23.87
"91","Headache","Health/disability status","Activity not limited by health conditions",22.3,19.15,25.45
"92","Headache","Health/disability status","Activity limited a little by health conditions",31.32,28.97,33.66
"93","Headache","Health/disability status","Activity limited a lot by health conditions",39.92,36.85,42.99
"94","Headache","Extent to which Long COVID reduces ability to undertake day-to-day activities","Not at all",10.01,8.4,11.61
"95","Headache","Extent to which Long COVID reduces ability to undertake day-to-day activities","A little",27.72,26.24,29.2
"96","Headache","Extent to which Long COVID reduces ability to undertake day-to-day activities","A lot",46.9,44.03,49.77
"97","Joint pain","All people","All people",34.04,32.84,35.24
"98","Joint pain","Health/disability status","No health conditions",25.8,24.22,27.38
