"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"1","Abdominal pain","All people","All people",9.56,8.82,10.3
"2","Abdominal pain","Employment status","Employed",8.9,7.92,9.89
"3","Abdominal pain","Employment status","Inactive - not looking",18.64,15.75,21.53
"4","Abdominal pain","Employment status","Inactive - retired",7.5,6.34,8.66
"5","Abdominal pain","Self-employment status","Employee",9.04,7.97,10.11
"6","Abdominal pain","Self-employment status","Self-employed",8.05,5.56,10.55
"7","Abdominal pain","Self-employment status","Not in employment",10.28,9.16,11.39
"8","Abdominal pain","Employment sector","Civil service or Local Government",9.24,6.24,12.25
"9","Abdominal pain","Employment sector","Financial services (including insurance)",6.57,3.24,9.91
"10","Abdominal pain","Employment sector","Health care",11.76,8.83,14.7
"11","Abdominal pain","Employment sector","Hospitality (e.g. hotel, restaurant)",13,6.41,19.59
"12","Abdominal pain","Employment sector","Information technology and communication",8.6,4.61,12.6
"13","Abdominal pain","Employment sector","Manufacturing or construction",7.06,4.29,9.82
"14","Abdominal pain","Employment sector","Not currently working",8.99,7.48,10.49
"15","Abdominal pain","Employment sector","Other occupation sector",7,4.8,9.21
"16","Abdominal pain","Employment sector","Retail sector (including wholesale)",12.66,8.97,16.35
"17","Abdominal pain","Employment sector","Social care",9.26,4.82,13.69
"18","Abdominal pain","Employment sector","Teaching and education",9.9,7.48,12.31
"19","Abdominal pain","Employment sector","Transport (including storage, logistic)",7.23,3.28,11.18
"20","Abdominal pain","Employment sector","Unknown",11.05,9.23,12.88
"21","Allergies","All people","All people",6.24,5.63,6.86
"22","Allergies","Employment status","Employed",5.83,5.02,6.64
"23","Allergies","Employment status","Inactive - not looking",13.87,11.29,16.46
"24","Allergies","Employment status","Inactive - retired",4.35,3.46,5.24
"25","Allergies","Self-employment status","Employee",5.83,4.96,6.71
"26","Allergies","Self-employment status","Self-employed",5.82,3.65,7.98
"27","Allergies","Self-employment status","Not in employment",6.69,5.77,7.61
"28","Allergies","Employment sector","Civil service or Local Government",4.2,2.12,6.28
"29","Allergies","Employment sector","Financial services (including insurance)",7.98,4.34,11.62
"30","Allergies","Employment sector","Health care",8.71,6.14,11.29
"31","Allergies","Employment sector","Manufacturing or construction",3.68,1.65,5.72
"32","Allergies","Employment sector","Not currently working",6.32,5.02,7.62
"33","Allergies","Employment sector","Other occupation sector",6.23,4.14,8.32
"34","Allergies","Employment sector","Retail sector (including wholesale)",8.44,5.34,11.54
"35","Allergies","Employment sector","Teaching and education",6.66,4.65,8.66
"36","Allergies","Employment sector","Unknown",6.23,4.81,7.65
"37","Chest pain","All people","All people",11.88,11.07,12.69
"38","Chest pain","Employment status","Employed",11.5,10.4,12.61
"39","Chest pain","Employment status","Unemployed",16.92,7.83,26.02
"40","Chest pain","Employment status","Inactive - not looking",23.99,20.79,27.19
"41","Chest pain","Employment status","Inactive - retired",7.74,6.58,8.9
"42","Chest pain","Employment status","Inactive - student",26.58,16.78,36.38
"43","Chest pain","Self-employment status","Employee",11.7,10.5,12.9
"44","Chest pain","Self-employment status","Self-employed",10.29,7.48,13.1
"45","Chest pain","Self-employment status","Not in employment",12.29,11.09,13.49
"46","Chest pain","Employment sector","Arts, Entertainment or Recreation",15.91,8.28,23.54
"47","Chest pain","Employment sector","Civil service or Local Government",12.61,9.16,16.05
"48","Chest pain","Employment sector","Financial services (including insurance)",10.33,6.25,14.41
"49","Chest pain","Employment sector","Health care",13.29,10.18,16.4
"50","Chest pain","Employment sector","Hospitality (e.g. hotel, restaurant)",15,7.99,22.01
"51","Chest pain","Employment sector","Information technology and communication",8.6,4.56,12.64
"52","Chest pain","Employment sector","Manufacturing or construction",11.35,7.9,14.8
"53","Chest pain","Employment sector","Not currently working",10.88,9.26,12.51
"54","Chest pain","Employment sector","Other occupation sector",9.73,7.16,12.3
"55","Chest pain","Employment sector","Retail sector (including wholesale)",13.96,10.1,17.83
"56","Chest pain","Employment sector","Social care",11.11,6.27,15.95
"57","Chest pain","Employment sector","Teaching and education",13.65,10.88,16.43
"58","Chest pain","Employment sector","Transport (including storage, logistic)",10.84,6.13,15.56
"59","Chest pain","Employment sector","Unknown",12.81,10.86,14.76
"60","Cough","All people","All people",32.98,31.79,34.17
"61","Cough","Employment status","Employed",28.62,27.04,30.2
"62","Cough","Employment status","Unemployed",26.15,15.47,36.84
"63","Cough","Employment status","Inactive - not looking",39.88,36.24,43.53
"64","Cough","Employment status","Inactive - retired",37.51,35.41,39.6
"65","Cough","Employment status","Inactive - student",34.18,23.87,44.49
"66","Cough","Self-employment status","Employee",28.18,26.49,29.87
"67","Cough","Self-employment status","Self-employed",31.32,26.98,35.66
"68","Cough","Self-employment status","Not in employment",37.73,35.95,39.51
"69","Cough","Employment sector","Arts, Entertainment or Recreation",25,15.95,34.05
"70","Cough","Employment sector","Civil service or Local Government",28.29,23.55,33.03
"71","Cough","Employment sector","Financial services (including insurance)",29.58,23.45,35.7
"72","Cough","Employment sector","Food production, agriculture, farming",36.96,22.52,51.4
"73","Cough","Employment sector","Health care",30.07,25.85,34.28
