"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"1","Abdominal pain","All people","All people",9.56,8.82,10.3
"2","Abdominal pain","Age group","16 to 24",12.63,6.02,19.24
"3","Abdominal pain","Age group","25 to 34",13.98,9.01,18.95
"4","Abdominal pain","Age group","35 to 49",10.1,8.39,11.81
"5","Abdominal pain","Age group","50 to 69",10.2,9.17,11.23
"6","Abdominal pain","Age group","70+",6.53,5.19,7.88
"7","Abdominal pain","Sex","Female",10.32,9.34,11.3
"8","Abdominal pain","Sex","Male",8.41,7.31,9.51
"9","Abdominal pain","Age Sex","Female 35 to 49",10.43,8.35,12.51
"10","Abdominal pain","Age Sex","Male 35 to 49",9.37,6.38,12.36
"11","Abdominal pain","Age Sex","Female 50 to 69",11.03,9.67,12.38
"12","Abdominal pain","Age Sex","Male 50 to 69",8.92,7.39,10.45
"13","Abdominal pain","Age Sex","Female 70+",7.17,5.15,9.19
"14","Abdominal pain","Age Sex","Male 70+",5.93,4.12,7.73
"15","Allergies","All people","All people",6.24,5.63,6.86
"16","Allergies","Age group","35 to 49",9.17,7.52,10.81
"17","Allergies","Age group","50 to 69",6.08,5.27,6.88
"18","Allergies","Age group","70+",3.42,2.43,4.41
"19","Allergies","Sex","Female",8.04,7.16,8.92
"20","Allergies","Sex","Male",3.53,2.8,4.26
"21","Allergies","Age Sex","Female 25 to 34",13.74,7.84,19.64
"22","Allergies","Age Sex","Female 35 to 49",10.55,8.44,12.66
"23","Allergies","Age Sex","Male 35 to 49",6.06,3.61,8.51
"24","Allergies","Age Sex","Female 50 to 69",7.7,6.54,8.85
"25","Allergies","Age Sex","Male 50 to 69",3.6,2.6,4.6
"26","Allergies","Age Sex","Female 70+",5.25,3.51,7
"27","Allergies","Age Sex","Male 70+",1.67,0.69,2.65
"28","Chest pain","All people","All people",11.88,11.07,12.69
"29","Chest pain","Age group","16 to 24",26.32,17.38,35.26
"30","Chest pain","Age group","25 to 34",22.04,16.12,27.97
"31","Chest pain","Age group","35 to 49",16.64,14.52,18.76
"32","Chest pain","Age group","50 to 69",11.38,10.31,12.45
"33","Chest pain","Age group","70+",6.3,4.97,7.62
"34","Chest pain","Sex","Female",11.68,10.65,12.72
"35","Chest pain","Sex","Male",12.18,10.88,13.48
"36","Chest pain","Age Sex","Female 25 to 34",19.08,12.36,25.81
"37","Chest pain","Age Sex","Male 25 to 34",29.09,17.01,41.17
"38","Chest pain","Age Sex","Female 35 to 49",16.56,14.03,19.1
"39","Chest pain","Age Sex","Male 35 to 49",16.8,12.97,20.64
"40","Chest pain","Age Sex","Female 50 to 69",10.59,9.25,11.92
"41","Chest pain","Age Sex","Male 50 to 69",12.59,10.81,14.38
"42","Chest pain","Age Sex","Female 70+",5.57,3.78,7.37
"43","Chest pain","Age Sex","Male 70+",6.99,5.05,8.94
"44","Cough","All people","All people",32.98,31.79,34.17
"45","Cough","Age group","16 to 24",27.37,18.6,36.13
"46","Cough","Age group","25 to 34",31.72,25.05,38.39
"47","Cough","Age group","35 to 49",25.3,22.8,27.79
"48","Cough","Age group","50 to 69",33.91,32.29,35.52
"49","Cough","Age group","70+",38.18,35.49,40.87
"50","Cough","Sex","Female",33.58,32.05,35.1
"51","Cough","Sex","Male",32.08,30.22,33.93
"52","Cough","Age Sex","Female 25 to 34",30.53,22.66,38.41
"53","Cough","Age Sex","Male 25 to 34",34.55,22.19,46.9
"54","Cough","Age Sex","Female 35 to 49",25.52,22.53,28.51
"55","Cough","Age Sex","Male 35 to 49",24.79,20.32,29.27
"56","Cough","Age Sex","Female 50 to 69",34.71,32.64,36.77
"57","Cough","Age Sex","Male 50 to 69",32.68,30.17,35.2
"58","Cough","Age Sex","Female 70+",41.56,37.71,45.41
"59","Cough","Age Sex","Male 70+",34.95,31.31,38.6
"60","Diarrhoea","All people","All people",9.04,8.32,9.76
"61","Diarrhoea","Age group","35 to 49",9.17,7.53,10.81
"62","Diarrhoea","Age group","50 to 69",9.51,8.52,10.51
"63","Diarrhoea","Age group","70+",7.15,5.71,8.6
"64","Diarrhoea","Sex","Female",9.94,8.98,10.91
"65","Diarrhoea","Sex","Male",7.67,6.62,8.72
"66","Diarrhoea","Age Sex","Female 25 to 34",13.74,7.84,19.64
"67","Diarrhoea","Age Sex","Female 35 to 49",9.33,7.33,11.32
"68","Diarrhoea","Age Sex","Male 35 to 49",8.82,5.91,11.72
"69","Diarrhoea","Age Sex","Female 50 to 69",10.25,8.93,11.56
"70","Diarrhoea","Age Sex","Male 50 to 69",8.4,6.91,9.88
"71","Diarrhoea","Age Sex","Female 70+",9.08,6.83,11.32
"72","Diarrhoea","Age Sex","Male 70+",5.32,3.6,7.04
"73","Difficulty concentrating","All people","All people",37.26,36.04,38.49
"74","Difficulty concentrating","Age group","16 to 24",38.95,29.09,48.8
"75","Difficulty concentrating","Age group","25 to 34",46.24,39.06,53.41
"76","Difficulty concentrating","Age group","35 to 49",45.76,42.9,48.61
"77","Difficulty concentrating","Age group","50 to 69",37.29,35.64,38.93
"78","Difficulty concentrating","Age group","70+",27.99,25.52,30.47
"79","Difficulty concentrating","Sex","Female",38.74,37.17,40.31
"80","Difficulty concentrating","Sex","Male",35.03,33.14,36.92
"81","Difficulty concentrating","Age Sex","Female 16 to 24",40.3,28.73,51.86
"82","Difficulty concentrating","Age Sex","Male 16 to 24",35.71,17.95,53.48
"83","Difficulty concentrating","Age Sex","Female 25 to 34",44.27,35.76,52.79
"84","Difficulty concentrating","Age Sex","Male 25 to 34",50.91,37.46,64.36
"85","Difficulty concentrating","Age Sex","Female 35 to 49",45.64,42.21,49.08
"86","Difficulty concentrating","Age Sex","Male 35 to 49",46.01,40.89,51.12
"87","Difficulty concentrating","Age Sex","Female 50 to 69",38.53,36.42,40.64
"88","Difficulty concentrating","Age Sex","Male 50 to 69",35.38,32.83,37.94
"89","Difficulty concentrating","Age Sex","Female 70+",29.14,25.58,32.7
"90","Difficulty concentrating","Age Sex","Male 70+",26.9,23.51,30.29
"91","Ear pain","All people","All people",8.19,7.5,8.88
"92","Ear pain","Age group","16 to 24",11.58,5.19,17.97
"93","Ear pain","Age group","25 to 34",12.9,8.08,17.73
"94","Ear pain","Age group","35 to 49",9.25,7.59,10.91
"95","Ear pain","Age group","50 to 69",7.79,6.89,8.7
"96","Ear pain","Age group","70+",7.31,5.88,8.74
"97","Ear pain","Sex","Female",9.64,8.69,10.6
