"date","rank","song","artist","weeks-on-board"
2021-11-06,1,"Easy On Me","Adele",3
2021-10-30,1,"Easy On Me","Adele",2
2021-10-23,1,"Industry Baby","Lil Nas X & Jack Harlow",12
2021-10-16,1,"Stay","The Kid LAROI & Justin Bieber",13
2021-10-09,1,"My Universe","Coldplay x BTS",1
2021-10-02,1,"Stay","The Kid LAROI & Justin Bieber",11
2021-09-25,1,"Stay","The Kid LAROI & Justin Bieber",10
2021-09-18,1,"Way 2 Sexy","Drake Featuring Future & Young Thug",1
2021-09-11,1,"Butter","BTS",15
2021-09-04,1,"Stay","The Kid LAROI & Justin Bieber",7
2021-08-28,1,"Stay","The Kid LAROI & Justin Bieber",6
2021-08-21,1,"Stay","The Kid LAROI & Justin Bieber",5
2021-08-14,1,"Stay","The Kid LAROI & Justin Bieber",4
2021-08-07,1,"Butter","BTS",10
2021-07-31,1,"Butter","BTS",9
2021-07-24,1,"Permission To Dance","BTS",1
2021-07-17,1,"Butter","BTS",7
2021-07-10,1,"Butter","BTS",6
2021-07-03,1,"Butter","BTS",5
2021-06-26,1,"Butter","BTS",4
2021-06-19,1,"Butter","BTS",3
2021-06-12,1,"Butter","BTS",2
2021-06-05,1,"Butter","BTS",1
2021-05-29,1,"Good 4 U","Olivia Rodrigo",1
2021-05-22,1,"Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)",10
2021-05-15,1,"Save Your Tears","The Weeknd & Ariana Grande",21
2021-05-08,1,"Save Your Tears","The Weeknd & Ariana Grande",20
2021-05-01,1,"Rapstar","Polo G",2
2021-04-24,1,"Rapstar","Polo G",1
2021-04-17,1,"Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)",5
2021-04-10,1,"Montero (Call Me By Your Name)","Lil Nas X",1
2021-04-03,1,"Peaches","Justin Bieber Featuring Daniel Caesar & Giveon",1
2021-03-27,1,"Up","Cardi B",6
2021-03-20,1,"What's Next","Drake",1
2021-03-13,1,"Drivers License","Olivia Rodrigo",8
2021-03-06,1,"Drivers License","Olivia Rodrigo",7
2021-02-27,1,"Drivers License","Olivia Rodrigo",6
2021-02-20,1,"Drivers License","Olivia Rodrigo",5
2021-02-13,1,"Drivers License","Olivia Rodrigo",4
2021-02-06,1,"Drivers License","Olivia Rodrigo",3
2021-01-30,1,"Drivers License","Olivia Rodrigo",2
2021-01-23,1,"Drivers License","Olivia Rodrigo",1
2021-01-16,1,"Mood","24kGoldn Featuring iann dior",22
2021-01-09,1,"Mood","24kGoldn Featuring iann dior",21
2021-01-02,1,"All I Want For Christmas Is You","Mariah Carey",43
2020-12-26,1,"Willow","Taylor Swift",1
2020-12-19,1,"All I Want For Christmas Is You","Mariah Carey",41
2020-12-12,1,"Mood","24kGoldn Featuring iann dior",17
2020-12-05,1,"Life Goes On","BTS",1
2020-11-28,1,"Mood","24kGoldn Featuring iann dior",15
2020-11-21,1,"Mood","24kGoldn Featuring iann dior",14
2020-11-14,1,"Mood","24kGoldn Featuring iann dior",13
2020-11-07,1,"Positions","Ariana Grande",1
2020-10-31,1,"Mood","24kGoldn Featuring iann dior",11
2020-10-24,1,"Mood","24kGoldn Featuring iann dior",10
2020-10-17,1,"Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo",17
2020-10-10,1,"Franchise","Travis Scott Featuring Young Thug & M.I.A.",1
2020-10-03,1,"Dynamite","BTS",5
2020-09-26,1,"WAP","Cardi B Featuring Megan Thee Stallion",6
2020-09-19,1,"WAP","Cardi B Featuring Megan Thee Stallion",5
2020-09-12,1,"Dynamite","BTS",2
2020-09-05,1,"Dynamite","BTS",1
2020-08-29,1,"WAP","Cardi B Featuring Megan Thee Stallion",2
2020-08-22,1,"WAP","Cardi B Featuring Megan Thee Stallion",1
2020-08-15,1,"Watermelon Sugar","Harry Styles",20
2020-08-08,1,"Cardigan","Taylor Swift",1
2020-08-01,1,"Rockstar","DaBaby Featuring Roddy Ricch",14
2020-07-25,1,"Rockstar","DaBaby Featuring Roddy Ricch",13
2020-07-18,1,"Rockstar","DaBaby Featuring Roddy Ricch",12
2020-07-11,1,"Rockstar","DaBaby Featuring Roddy Ricch",11
2020-07-04,1,"Rockstar","DaBaby Featuring Roddy Ricch",10
2020-06-27,1,"Trollz","6ix9ine & Nicki Minaj",1
2020-06-20,1,"Rockstar","DaBaby Featuring Roddy Ricch",8
2020-06-13,1,"Rockstar","DaBaby Featuring Roddy Ricch",7
2020-06-06,1,"Rain On Me","Lady Gaga & Ariana Grande",1
2020-05-30,1,"Savage","Megan Thee Stallion",10
2020-05-23,1,"Stuck With U","Ariana Grande & Justin Bieber",1
2020-05-16,1,"Say So","Doja Cat Featuring Nicki Minaj",18
2020-05-09,1,"The Scotts","THE SCOTTS, Travis Scott & Kid Cudi",1
2020-05-02,1,"Blinding Lights","The Weeknd",21
2020-04-25,1,"Blinding Lights","The Weeknd",20
2020-04-18,1,"Toosie Slide","Drake",1
2020-04-11,1,"Blinding Lights","The Weeknd",18
2020-04-04,1,"Blinding Lights","The Weeknd",17
