"date","rank","song","artist","weeks-on-board"
2021-10-09,1,"My Universe","bts",1
2021-09-18,1,"Way 2 Sexy","drake",1
2021-09-11,1,"Butter","bts",15
2021-08-07,1,"Butter","bts",10
2021-07-31,1,"Butter","bts",9
2021-07-24,1,"Permission To Dance","bts",1
2021-07-17,1,"Butter","bts",7
2021-07-10,1,"Butter","bts",6
2021-07-03,1,"Butter","bts",5
2021-06-26,1,"Butter","bts",4
2021-06-19,1,"Butter","bts",3
2021-06-12,1,"Butter","bts",2
2021-06-05,1,"Butter","bts",1
2021-03-20,1,"What's Next","drake",1
2020-12-26,1,"Willow","taylor swift",1
2020-12-05,1,"Life Goes On","bts",1
2020-10-03,1,"Dynamite","bts",5
2020-09-12,1,"Dynamite","bts",2
2020-09-05,1,"Dynamite","bts",1
2020-08-15,1,"Watermelon Sugar","harry styles",20
2020-08-08,1,"Cardigan","taylor swift",1
2020-04-18,1,"Toosie Slide","drake",1
2018-09-22,1,"In My Feelings","drake",11
2018-09-15,1,"In My Feelings","drake",10
2018-09-08,1,"In My Feelings","drake",9
2018-09-01,1,"In My Feelings","drake",8
2018-08-25,1,"In My Feelings","drake",7
2018-08-18,1,"In My Feelings","drake",6
2018-08-11,1,"In My Feelings","drake",5
2018-08-04,1,"In My Feelings","drake",4
2018-07-28,1,"In My Feelings","drake",3
2018-07-21,1,"In My Feelings","drake",2
2018-07-14,1,"Nice For What","drake",13
2018-06-23,1,"Nice For What","drake",10
2018-06-09,1,"Nice For What","drake",8
2018-06-02,1,"Nice For What","drake",7
2018-05-12,1,"Nice For What","drake",4
2018-05-05,1,"Nice For What","drake",3
2018-04-28,1,"Nice For What","drake",2
2018-04-21,1,"Nice For What","drake",1
2018-04-14,1,"God's Plan","drake",11
2018-04-07,1,"God's Plan","drake",10
2018-03-31,1,"God's Plan","drake",9
2018-03-24,1,"God's Plan","drake",8
2018-03-17,1,"God's Plan","drake",7
2018-03-10,1,"God's Plan","drake",6
2018-03-03,1,"God's Plan","drake",5
2018-02-24,1,"God's Plan","drake",4
2018-02-17,1,"God's Plan","drake",3
2018-02-10,1,"God's Plan","drake",2
2018-02-03,1,"God's Plan","drake",1
2017-09-30,1,"Look What You Made Me Do","taylor swift",4
2017-09-23,1,"Look What You Made Me Do","taylor swift",3
2017-09-16,1,"Look What You Made Me Do","taylor swift",2
2016-07-30,1,"One Dance","drake",15
2016-07-23,1,"One Dance","drake",14
2016-07-16,1,"One Dance","drake",13
2016-07-09,1,"One Dance","drake",12
2016-07-02,1,"One Dance","drake",11
2016-06-25,1,"One Dance","drake",10
2016-06-18,1,"One Dance","drake",9
2016-06-11,1,"One Dance","drake",8
2016-06-04,1,"One Dance","drake",7
2016-05-21,1,"One Dance","drake",5
2016-04-30,1,"Work","drake",12
2016-04-23,1,"Work","drake",11
2016-04-16,1,"Work","drake",10
2016-04-09,1,"Work","drake",9
2016-04-02,1,"Work","drake",8
2016-03-26,1,"Work","drake",7
2016-03-19,1,"Work","drake",6
2016-03-12,1,"Work","drake",5
2016-03-05,1,"Work","drake",4
2015-06-06,1,"Bad Blood","taylor swift",4
2015-01-10,1,"Blank Space","taylor swift",9
2015-01-03,1,"Blank Space","taylor swift",8
2014-12-27,1,"Blank Space","taylor swift",7
2014-12-20,1,"Blank Space","taylor swift",6
2014-12-13,1,"Blank Space","taylor swift",5
2014-12-06,1,"Blank Space","taylor swift",4
2014-11-29,1,"Blank Space","taylor swift",3
2014-11-22,1,"Shake It Off","taylor swift",12
2014-11-15,1,"Shake It Off","taylor swift",11
2014-09-13,1,"Shake It Off","taylor swift",2
2014-09-06,1,"Shake It Off","taylor swift",1
2012-09-22,1,"We Are Never Ever Getting Back Together","taylor swift",5
2012-09-08,1,"We Are Never Ever Getting Back Together","taylor swift",3
2012-09-01,1,"We Are Never Ever Getting Back Together","taylor swift",2
2010-11-20,1,"What's My Name?","drake",3
2009-01-10,1,"Single Ladies (Put A Ring On It)","beyonce",11
2009-01-03,1,"Single Ladies (Put A Ring On It)","beyonce",10
2008-12-27,1,"Single Ladies (Put A Ring On It)","beyonce",9
2008-12-13,1,"Single Ladies (Put A Ring On It)","beyonce",7
2007-02-17,1,"Irreplaceable","beyonce",16
2007-02-10,1,"Irreplaceable","beyonce",15
2007-02-03,1,"Irreplaceable","beyonce",14
2007-01-27,1,"Irreplaceable","beyonce",13
2007-01-20,1,"Irreplaceable","beyonce",12
2007-01-13,1,"Irreplaceable","beyonce",11
2007-01-06,1,"Irreplaceable","beyonce",10
2006-12-30,1,"Irreplaceable","beyonce",9
2006-12-23,1,"Irreplaceable","beyonce",8
2006-12-16,1,"Irreplaceable","beyonce",7
2006-03-04,1,"Check On It","beyonce",16
2006-02-25,1,"Check On It","beyonce",15
2006-02-18,1,"Check On It","beyonce",14
2006-02-11,1,"Check On It","beyonce",13
2006-02-04,1,"Check On It","beyonce",12
2003-11-29,1,"Baby Boy","beyonce",16
2003-11-22,1,"Baby Boy","beyonce",15
